"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"799","DCAF6",0,0,0,1
"800","CRIP2",0,0,0,0
"801","PTPRD",0,0,0,0
"802","EDF1",0,0,0,1
"803","NSDHL",0,0,0,0
"804","UBTD2",0,0,0,1
"805","EIF1AX",0,0,0,0
"806","SAMD4B",0,0,0,1
"807","GPR160",0,0,0,1
"808","PTK2",0,0,0,1
"809","P4HB",0,0,0,0
"810","RABAC1",0,0,0,0
"811","ZNF12",0,0,0,0
"812","PAFAH1B2",0,0,0,1
"813","BLMH",0,0,0,0
"814","NCAPH",0,0,0,0
"815","IQGAP1",0,0,0,1
"816","LGALS7",0,0,0,0
"817","PNRC2",0,0,0,1
"818","CD74",0,0,1,1
"819","ATP2C1",0,0,0,1
"820","EPB41L2",0,0,0,0
"821","SEL1L",1,0,0,1
